User,Date,Text,sentiment
realDonaldTrump,7/31/20 14:08,".....Our massive testing capability, rather than being praised, is used by the Lamestream Media and their partner, the Do Nothing Radical Left Democrats, as a point of scorn. This testing, and what we have so quickly done, is used as a Fake News weapon. Sad!","('neg', 0.6)"
realDonaldTrump,7/31/20 14:08,"Somebody please tell Congressman Clyburn, who doesn’t have a clue, that the chart he put up indicating more CASES for the U.S. than Europe, is because we do MUCH MORE testing than any other country in the World. If we had no testing, or bad testing, we would show very few CASES..","('neg', 1.0)"
realDonaldTrump,7/31/20 13:15,https://t.co/O8bK1Ewtqu,"('neg', 1.0)"
realDonaldTrump,7/30/20 23:33,Great to spend time with Mike Singletary while going to Texas. He’s one of the greatest football players ever — A strong man and a really good person. Great being with you Mike! https://t.co/lWsYn4lhOm,"('pos', 1.0)"
realDonaldTrump,7/30/20 22:45,"My Administration has been focused on finding treatments for Coronavirus. If you’ve recovered from Coronavirus, donate your plasma today to help SAVE LIVES! Together, we will beat the Virus!

🌐https://t.co/YLpBCgf837 https://t.co/IyO4livTLm","('pos', 1.0)"
realDonaldTrump,7/30/20 22:34,"As the Wall goes up, illegal crossings go down. This past week we built over 10 miles of Wall at our Southern Border. We now have 256 miles of NEW Wall and we are on track to have 300 miles completed by the end of August! https://t.co/AWl0dYfY1w","('neg', 0.8)"
realDonaldTrump,7/30/20 21:42,RT @WhiteHouse: LIVE: President @realDonaldTrump holds a news conference https://t.co/VJN1DydCRK,"('neg', 1.0)"
realDonaldTrump,7/30/20 21:20,https://t.co/DzCU5kF6Mm,"('neg', 1.0)"
realDonaldTrump,7/30/20 20:23,"We are going to WIN the 2020 Election, BIG! #MAGA","('neg', 1.0)"
realDonaldTrump,7/30/20 20:22,"Must know Election results on the night of the Election, not days, months, or even years later!","('neg', 1.0)"
realDonaldTrump,7/30/20 20:22,"Glad I was able to get the very dishonest LameStream Media to finally start talking about the RISKS to our Democracy from dangerous Universal Mail-In-Voting (not Absentee Voting, which I totally support!).","('neg', 1.0)"
realDonaldTrump,7/30/20 19:03,RT @WhiteHouse: LIVE: President @realDonaldTrump participates in a roundtable on donating plasma https://t.co/pMnAQKQJig,"('pos', 1.0)"
realDonaldTrump,7/30/20 18:42,"...the phone with his amazing wife Gloria, daughter, Melanie, and son Vincent to express my deepest condolences to the entire family. @FLOTUS Melania and I loved Herman Cain, a great man. Herman, Rest In Peace! https://t.co/GNUf5jHjX0","('pos', 1.0)"
realDonaldTrump,7/30/20 18:42,"My friend Herman Cain, a Powerful Voice of Freedom and all that is good, passed away this morning. Herman had an incredible career and was adored by everyone that ever met him, especially me. He was a very special man, an American Patriot, and great friend. I just got off...","('pos', 1.0)"
realDonaldTrump,7/30/20 14:26,"Support Patio Pizza and its wonderful owner, Guy Caligiuri, in St. James, Long Island (N.Y.). Great Pizza!!! @Varneyco","('pos', 1.0)"
realDonaldTrump,7/30/20 13:44,"Drug prices will soon be lowered massively. Big Pharma (Drug Companies) are advertising against me like crazy because lower prices mean less profit. When you watch a Fake Ad, just think lower drug prices!!!","('neg', 1.0)"
realDonaldTrump,7/30/20 13:20,"Kate Brown, Governor of Oregon, isn’t doing her job. She must clear out, and in some cases arrest, the Anarchists &amp; Agitators in Portland. If she can’t do it, the Federal Government will do it for her. We will not be leaving until there is safety!","('neg', 1.0)"
realDonaldTrump,7/30/20 12:46,"With Universal Mail-In Voting (not Absentee Voting, which is good), 2020 will be the most INACCURATE &amp; FRAUDULENT Election in history. It will be a great embarrassment to the USA. Delay the Election until people can properly, securely and safely vote???","('pos', 1.0)"
realDonaldTrump,7/30/20 12:33,"Major China Virus flare ups in many of the countries that the Fake News was touting as doing so well. Some of these countries are now a disaster. Lamestream Media doesn’t want to report this. Also, highly inaccurate numbers being reported by many other countries!!! @WSJ","('neg', 1.0)"
realDonaldTrump,7/30/20 12:10,"Mail-In Voting is already proving to be a catastrophic disaster. Even testing areas are way off. The Dems talk of foreign influence in voting, but they know that Mail-In Voting is an easy way for foreign countries to enter the race. Even beyond that, there’s no accurate count!","('pos', 1.0)"
realDonaldTrump,7/29/20 23:39,"Germany pays Russia billions of dollars a year for Energy, and we are supposed to protect Germany from Russia. What’s that all about? Also, Germany is very delinquent in their 2% fee to NATO. We are therefore moving some troops out of Germany!","('pos', 1.0)"
realDonaldTrump,7/29/20 23:24,"Check out this Mail-In Voting experiment by a local news station! 
https://t.co/23tOdt1hYc","('neg', 1.0)"
realDonaldTrump,7/29/20 22:28,"New York Mail-In voting is in a disastrous state of condition. Votes from many weeks ago are missing - a total mess. They have no idea what is going on. Rigged Election. I told you so. Same thing would happen, but on massive scale, with USA. Fake News refuses to report!","('neg', 1.0)"
realDonaldTrump,7/29/20 22:22,RT @realDonaldTrump: .@FoxNews reported incorrectly what the Federal Government is doing with respect to Portland. We are demanding that th…,"('neg', 1.0)"
realDonaldTrump,7/29/20 22:22,"RT @TeamTrump: President @realDonaldTrump: “I don’t think Biden’s going to do too well in Texas,"" especially with no fracking part of his p…","('pos', 0.8)"
realDonaldTrump,7/29/20 22:21,RT @WhiteHouse: President @realDonaldTrump will ALWAYS put America first! 🇺🇸 https://t.co/IaJLY7GDn5,"('neg', 0.6)"
realDonaldTrump,7/29/20 22:15,".@FoxNews reported incorrectly what the Federal Government is doing with respect to Portland. We are demanding that the Governor &amp; Mayor do their job or we will do it for them. To complicated to discuss in a Tweet, but bad reporting by Fox (possibly on purpose!). @DHSgov","('neg', 1.0)"
realDonaldTrump,7/29/20 20:31,RT @WhiteHouse: LIVE: President @realDonaldTrump delivers remarks on energy dominance https://t.co/y4hvLoRLIc,"('neg', 1.0)"
realDonaldTrump,7/29/20 19:57,Great to be in Texas!,"('neg', 1.0)"
realDonaldTrump,7/29/20 19:56,RT @realDonaldTrump: LAW &amp; ORDER!,"('neg', 1.0)"
realDonaldTrump,7/29/20 19:56,RT @realDonaldTrump: Sleepy Joe Biden is just a Trojan Horse for the Radical Left Agenda. He will do whatever they want!,"('neg', 1.0)"
realDonaldTrump,7/29/20 19:46,https://t.co/6WIUe9lT9D,"('neg', 1.0)"
realDonaldTrump,7/29/20 19:45,https://t.co/rGwz4N6PwW,"('neg', 1.0)"
realDonaldTrump,7/29/20 17:02,"...do not stop the Crime and Violence from the Anarchists and Agitators immediately, the Federal Government will go in and do the job that local law enforcement was supposed to do!","('neg', 1.0)"
realDonaldTrump,7/29/20 17:02,"If the Federal Government and its brilliant Law Enforcement (Homeland) didn’t go into Portland one week ago, there would be no Portland -- It would be burned and beaten to the ground. If the Mayor and Governor...","('neg', 1.0)"
realDonaldTrump,7/29/20 16:59,Just landed in the Great State of Texas! https://t.co/Z9LjIU0Uec,"('neg', 1.0)"
realDonaldTrump,7/29/20 16:58,"I was on Air Force One flying to the Great State of Texas, where I just landed. It is AMAZING in watching @FoxNews how different they are from four years ago. Not even watchable. They totally forgot who got them where they are!","('pos', 1.0)"
realDonaldTrump,7/29/20 16:26,"...With Biden, drug prices will quadruple! After many years, the game is finally up for Big Pharma, and they’re NOT HAPPY about it! Please understand that when you see their negative ads!","('neg', 1.0)"
realDonaldTrump,7/29/20 16:26,"The drug companies are spending millions of dollars in advertising against me, only because I am lowering drug prices massively, 50% and more! Biden and Obama said they would do this for eight years, but never did...","('neg', 1.0)"
realDonaldTrump,7/29/20 16:19,"...Your housing prices will go up based on the market, and crime will go down. I have rescinded the Obama-Biden AFFH Rule. Enjoy!","('neg', 1.0)"
realDonaldTrump,7/29/20 16:19,I am happy to inform all of the people living their Suburban Lifestyle Dream that you will no longer be bothered or financially hurt by having low income housing built in your neighborhood...,"('neg', 0.6)"
tedcruz,7/31/20 14:27,"RT @thehill: Sen. Ted Cruz: ""I think we'll win in Texas -- but I think it's a real race."" https://t.co/fwDRMudW4q","('neg', 0.6)"
tedcruz,7/31/20 14:27,"RT @adkins_2020: With only 5 days left until the Primary Election, here are the facts: I have proudly been endorsed by @tedcruz. I am the O…","('neg', 1.0)"
tedcruz,7/31/20 14:21,"Sorry Steve, science isn’t allowed. Because Trump said good things about hydroxychloroquine, it must be BAD, no matter what the evidence shows.  And Twitter will enforce the silence. 

We should fight this disease with science &amp; data, not angry politics. https://t.co/ufZHmjBc6V","('pos', 0.6)"
tedcruz,7/31/20 05:52,"I’d say, “no, you can’t do that,” just like I said today. https://t.co/paDrZlbaQE","('neg', 1.0)"
tedcruz,7/31/20 05:50,"RT @thehill: Sen. Ted Cruz: ""It is strange to see masks treated as this political talisman."" https://t.co/SfyVOyX7fh","('pos', 1.0)"
tedcruz,7/30/20 19:56,Go buy it!  🇺🇸🇺🇸 https://t.co/o4LoDNsNPH,"('neg', 1.0)"
tedcruz,7/30/20 19:45,CCP is the new Evil Empire. https://t.co/oy8ZiNN6nO,"('neg', 0.8)"
tedcruz,7/30/20 19:42,"RT @thehill: Sen. @tedcruz: ""Let's focus on reopening the economy and helping people get jobs again."" https://t.co/HuK954srpZ","('neg', 1.0)"
tedcruz,7/30/20 19:41,"RT @thehill: Sen. Ted Cruz: ""I don't particularly understand folks who say 'I'll never wear a mask no matter what' -- but I also don't unde…","('neg', 1.0)"
tedcruz,7/30/20 19:40,"RT @thehill: Sen. Ted Cruz: ""Let's focus on reopening the economy and helping people get jobs again."" https://t.co/sPgOvYpMvK","('neg', 1.0)"
tedcruz,7/30/20 19:38,RT @Heritage_Action: We support @SenTedCruz and @RepTedBudd’s  Pandemic Healthcare Access Act (S.3546/H.R.6338) as it provides all American…,"('pos', 1.0)"
tedcruz,7/30/20 18:50,RT @CPA_Trendlines: Details and Analysis of The CREATE JOBS Act: Senators Ted Cruz and Martha McSally introduced the CREATE JOBS Act that w…,"('neg', 1.0)"
tedcruz,7/30/20 17:39,"For over 38 years the @RocketCenterUSA’s @SpaceCampUSA has been educating and inspiring future generations of scientists and astronauts, and is now at risk of shutting down. 

Find out how to get involved to help save this crucial program today —&gt; https://t.co/zARX0WDVUR","('neg', 1.0)"
tedcruz,7/30/20 14:56,"I’m hearing a lot of people saying this is the best podcast we’ve done. 

@EricRWeinstein is really damn smart, and a serious man of the Left. 

We have a calm, civil, substantive discussion of the crazy times we’re in. 

Check it out:  https://t.co/XAowuYJVkc https://t.co/7omWS1Kc2E","('pos', 1.0)"
tedcruz,7/30/20 14:50,"Ok, the Internet is cool. Suddenly, I’m in Face/Off...seems like I’m now John Travolta.... 😎 https://t.co/b6XX4gJ7fE","('neg', 0.8)"
tedcruz,7/30/20 13:38,RT @ChronFalkenberg: Texas Sen. Ted Cruz: Good riddance to the Houston Chinese Consulate https://t.co/iX8ooeVBH8,"('neg', 1.0)"
tedcruz,7/30/20 12:27,"RT @NASAPersevere: Onward to Mars, together. 

#CountdownToMars https://t.co/uDZHxq7gHX","('neg', 1.0)"
